Agency,Title,URL,Identifier,Access
DOI,"World phosphate mines, deposits, and occurrences",http://mrdata.usgs.gov/services/phosphate?request=GetCapabilities&service=WMS&version=1.1.1,56945fbc-5495-48c2-adf0-29e4eb4e1db1,public
DOI,"Alaska Point Feature GIS Data from COMIDA, ANIMIDA and cANIMIDA Programs",http://webqa.coast.noaa.gov/arcgis/rest/services/geoESPIS/AlaskaProgramData/MapServer/0,592c140e-b33b-4129-b6e1-bd7b2df28072,public
DOI,"Carbonatites of the world, explored deposits of Nb and REE",http://mrdata.usgs.gov/services/carbonatite?request=GetCapabilities&service=WMS&version=1.1.1,5a96f935-c386-4563-84a6-fa39af430d34,public
DOI,FWS Critical Habitat for Threatened and Endangered Species Dataset,http://criticalhabitat.fws.gov/arcgis/rest/services/crithab/usfwsCriticalHabitat/MapServer/kml/mapImage.kmz,5e17213b-e56e-4fcf-b105-84b298c2927a,public
DOI,"Asbestos mines, prospects, and occurrences in the US",http://mrdata.usgs.gov/services/asbestos?request=GetCapabilities&service=WMS&version=1.1.1,5fde9078-07d0-4fa0-bea8-490068250a82,public
DOI,Mineral Resources Data System,http://mrdata.usgs.gov/services/mrds?request=getcapabilities&service=WMS&version=1.1.1&,60e62f65-e4d8-4ec0-83ae-3cce6629ed49,public
DOI,Digital data grids for the magnetic anomaly map of North America,http://mrdata.usgs.gov/ArcGIS/services/Geophysics/NorthAmericaCompilation_static/MapServer/WMSServer?request=getcapabilities&service=WMS&version=1.1.1&,66c7c483-28cd-4a7c-be3e-92d0bee85755,public
DOI,REA CBR BLM Mineral Resources Data System - Abandoned Mines,http://mrdata.usgs.gov/cgi-bin/mapserv?map=mrds.map&request=getcapabilities&service=WFS&version=1.0.0&,6efec02b-b28f-4b24-b615-13a57a0fa471,public
DOI,Ocean Biogeographic Information System (OBIS) - USA Dataset Collection,http://gis1.usgs.gov/arcgis/rest/services/OBISUSA/OBIS_USA_All_Marine_Biogeographic_Records/MapServer,70f329e8-a1df-4a9b-920c-401ba7d5b4e1,public
DOI,Landscape Conservation Cooperatives Map Services,http://gis.fws.gov/ArcGIS/rest/services/FWS_LCC/MapServer,73766ea4-9dd7-40ea-9d9c-6cc4e592e191,public
DOI,Mineral operations outside the United States,http://mrdata.usgs.gov/services/minfac?request=GetCapabilities&service=WMS&version=1.1.1,7d5f4057-6b31-4721-93e9-ceb6c5e55b08,public
DOI,"Alaska Geochemical Database (AGDB) - Geochemical Data for Rock, Sediment, Soil, Mineral, and Concentrate Sample Media",http://mrdata.usgs.gov/services/agdb2?request=GetCapabilities&service=WMS&version=1.1.1&,813fd05f-3a67-45fa-8c45-86f517c5bf29,public
DOI,Sediment-hosted copper deposits of the world,http://mrdata.usgs.gov/services/sedcu?request=getcapabilities&service=WMS&version=1.1.1&,831885a8-6743-47cd-ad3f-d6aee322672e,public
DOI,Isostatic residual gravity anomaly data grid for the conterminous US,http://mrdata.usgs.gov/services/gravity?request=getcapabilities&service=WMS&version=1.1.1&,84ee4a31-895e-442e-b236-fd0b0cf29f74,public
DOI,"Rare earth element mines, deposits, and occurrences",http://mrdata.usgs.gov/services/ree?request=GetCapabilities&service=WMS&version=1.1.1,8a0058f0-7597-492a-821e-603bdfc82b8e,public
DOI,Preliminary integrated geologic map data for Alaska,http://mrdata.usgs.gov/services/akgeol?request=getcapabilities&service=WMS&version=1.1.1&,8ef84f96-5f9e-4d7a-8a1b-71572be338b3,public
DOI,Terrestrial Radioactivity and Gamma-ray Exposure in the United States and Canada: Gridded geographic images,http://mrdata.usgs.gov/services/radiometric?request=getcapabilities&service=WMS&version=1.1.1&,90db924b-f0f4-43ed-a5d6-4d0b3643ff8a,public
DOI,U.S. Geological Survey Gap Analysis Program- Land Cover Data v2.2,http://gis1.usgs.gov/arcgis/rest/services/gap/GAP_Land_Cover_Ecological_Systems_Landuse/MapServer,a604a59a-a17f-4c77-9b83-a754d9260cce,public
DOI,"Alaska Line Feature GIS Data from COMIDA, ANIMIDA and cANIMIDA Programs",http://webqa.coast.noaa.gov/arcgis/rest/services/geoESPIS/AlaskaProgramData/MapServer/1,a69e425b-195b-4153-965e-0874ab238437,public
DOI,2017-2022 Draft Proposed Program - Withdrawal Areas,http://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/2017-2022_Draft_Proposed_Program_for_Oil_and_Gas_Leasing_on_the_OCS_Withdrawal_Areas/FeatureServer/0,a7eb4e41-0643-4520-9d6c-eea27eadd6b7,public
DOI,Mineral resource data for Mississippi Valley-Type and clastic-dominated sediment-hosted lead-zinc deposits,http://mrdata.usgs.gov/services/sedexmvt?request=getcapabilities&service=WMS&version=1.1.1&,aee709f8-40f0-46dd-8623-64a48e4f9785,public
DOI,Podiform chromite deposits,http://mrdata.usgs.gov/services/podchrome?request=GetCapabilities&service=WMS&version=1.1.1,b27d7d8f-014c-45e8-ac42-875a79fb8276,public
DOI,2017-2022 Draft Proposed Program - All Areas,http://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/2017_2022_Draft_Proposed_Program_for_Oil_and_Gas_Leasing_on_the_OCS/FeatureServer/0,b481f455-cbbf-4e57-a8b8-9f2257f8e26c,public
DOI,Map and table of world copper smelters,http://mrdata.usgs.gov/services/copper-smelters?request=getcapabilities&service=WMS&version=1.1.1&,b8bf1833-6b2e-46d3-aedd-b1f8941f0a54,public
DOI,REA SNK Alaska Resource Data File (ARDF) - mines,http://mrdata.usgs.gov/services/ardf?request=getcapabilities&service=WFS&version=1.0.0&,baa358f8-7582-45ee-bd93-98ccf7ad4bb6,public
DOI,National Fish Habitat Partnership Data System,http://gis1.usgs.gov/arcgis/rest/services/nfhap/nfhap_public_coastal/MapServer,bf91ce18-c8d2-4d36-b4a1-2c4af3b24cf6,public
DOI,U.S. Geological Survey Gap Analysis Program,http://gis1.usgs.gov/arcgis/rest/services/NAT_Species_Amphibians,c176dfb4-1091-4632-b524-151a13cdf3ae,public
DOI,An index to PGE-Ni-Cr deposits and occurrences in selected mineral-occurrence databases,http://mrdata.usgs.gov/services/nicrpge?request=GetCapabilities&service=WMS&version=1.1.1,c189736a-27a5-4515-863d-feabcfd1259c,public
DOI,"Geology, geochemistry, geophysics, mineral occurrences, and mineral resource assessment for the commonwealth of Puerto Rico",http://mrdata.usgs.gov/services/pr?service=WMS&request=GetCapabilities&version=1.1.1,c52e4977-5610-4b44-ab1a-b2c603fd69af,public
DOI,"Alaska map quadrangles at 1:250,000 scale",http://mrdata.usgs.gov/services/ak250?request=GetCapabilities&service=WMS&version=1.1.1,cb78f22b-e9a4-4b21-ae2c-76fe675178dd,public
DOI,Hydrothermal Alteration Maps of the Central and Southern Basin and Range Province of the United States Compiled From Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) Data,http://mrdata.usgs.gov/services/alteration?request=GetCapabilities&service=WMS&version=1.1.1&,cdf65644-67c1-49c9-9f94-1da8d43e1571,public
DOI,Sediment-hosted gold deposits of the world,http://mrdata.usgs.gov/services/sedau?service=WMS&request=GetCapabilities&version=1.1.1,d1f5489e-3f0b-46f8-a302-9f482041d3a3,public
DOI,"BATHY_2M_ASC.ASC: Bathymetric data collected by the U.S. Geological Survey off the southern shore of Martha's Vineyard, MA, 2007 (ASCII RASTER)","http://cmgds.marine.usgs.gov/geoserver/bathy/wms?service=WMS&version=1.1.0&request=GetMap&layers=bathy:2008-1288_bathy&styles=&bbox=366025.999733,4573362.199733,373517.999563,4578707.626581&srs=EPSG:4326",d88ebcb2-8144-4422-9fce-f8259aeedb75,public
DOI,Multistate Aquatic Resources Information System (MARIS),http://gis1.usgs.gov/arcgis/rest/services/maris/maris_data_public/MapServer/0,d90295af-5fac-4e6c-9b38-e1e3d5e4dedf,public
DOI,Active Mines and Mineral Processing Plants in the United States in 2003,http://mrdata.usgs.gov/services/active-mines?request=getcapabilities&service=WMS&version=1.1.1&,e169f2ca-d8d5-447d-81cc-e863903b058e,public
DOI,National Geochronological Database,http://mrdata.usgs.gov/services/geochron?request=GetCapabilities&service=WMS&version=1.1.1,e608d19f-b30a-4d10-9892-807955e69602,public
DOI,Oil and Gas Resource Plays,http://coast.noaa.gov/arcgis/rest/services/MarineCadastre/,e67c1a1b-d283-4ac6-ae85-a2c8fefd3566,public
DOI,Alaska Radiometric Ages,http://mrdata.usgs.gov/services/akages?request=getcapabilities&service=WMS&version=1.1.1&,eac09c7f-da7e-43e4-9eb0-b4ef516ab7dc,public
DOI,US Joint Ventures 2013 revision,http://gis.fws.gov/arcgis/rest/services/FWS_US_Joint_Ventures/MapServer,eec2ac7c-8ba1-418a-b6ae-62a800a52460,public
DOI,Geochemical and mineralogical maps for soils of the conterminous United States,http://mrdata.usgs.gov/services/soils?service=WMS&request=GetCapabilities&version=1.1.1&,f0498d5c-fd80-40a7-80bc-698135df6aec,public
DOI,National Wetlands Inventory - Wetlands,http://107.20.228.18/ArcGIS/rest/services/Wetlands/MapServer,f42b5588-2ad2-4b60-8bf8-b6f0d79554a2,public
DOI,National Mineral Resource Assessment 1998,http://mrdata.usgs.gov/services/nmra?request=GetCapabilities&service=WMS&version=1.1.1,fb909b97-34c0-4478-8d01-f535c2e99ccf,public
DOL,2010 Occupational Employment Statistics - Area,http://api.dol.gov/V1/Statistics/OES2010/area?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-114,public
DOL,2010 Occupational Employment Statistics - Area Definitions,http://api.dol.gov/V1/Statistics/OES2010/area_definitions?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-115,public
DOL,2010 Occupational Employment Statistics - Area Type,http://api.dol.gov/V1/Statistics/OES2010/areatype?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-116,public
DOL,2010 Occupational Employment Statistics - Data,http://api.dol.gov/V1/Statistics/OES2010/data?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-117,public
DOL,2010 Occupational Employment Statistics - Data Type,http://api.dol.gov/V1/Statistics/OES2010/datatype?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-118,public
DOL,2010 Occupational Employment Statistics - Footnote,http://api.dol.gov/V1/Statistics/OES2010/footnote?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-119,public
DOL,2010 Occupational Employment Statistics - Industry,http://api.dol.gov/V1/Statistics/OES2010/industry?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-120,public
DOL,2010 Occupational Employment Statistics - Industry Titles,http://api.dol.gov/V1/Statistics/OES2010/industry_title?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-121,public
DOL,2010 Occupational Employment Statistics - Occugroup,http://api.dol.gov/V1/Statistics/OES2010/occugroup?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-122,public
DOL,2010 Occupational Employment Statistics - Occupation Definitions,http://api.dol.gov/V1/Statistics/OES2010/occupation_definitions?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-123,public
DOL,2010 Occupational Employment Statistics - Release,http://api.dol.gov/V1/Statistics/OES2010/release?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-124,public
DOL,2010 Occupational Employment Statistics - Seasonal,http://api.dol.gov/V1/Statistics/OES2010/Seasonal?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-125,public
DOL,2010 Occupational Employment Statistics - Sector,http://api.dol.gov/V1/Statistics/OES2010/sector?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-126,public
DOL,2010 Occupational Employment Statistics - Series,http://api.dol.gov/V1/Statistics/OES2010/series?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-127,public
DOL,2010 Occupational Employment Statistics - Statemsa,http://api.dol.gov/V1/Statistics/OES2010/statemsa?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-128,public
DOL,Average Houly Earnings - 1 Month Net Change,http://api.dol.gov/V1/statistics/BLS_Numbers/averageHourlyEarnings1MonthNetChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-75,public
DOL,Average Hourly Earnings,http://api.dol.gov/V1/statistics/BLS_Numbers/averageHourlyEarnings?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-64,public
DOL,Average Hourly Earnings - 12 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/BLS_Numbers?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-73,public
DOL,Average Hourly Earnings - 1 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/averageHoulryEarnings1MonthChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-74,public
DOL,Consumer Price Index,http://api.dol.gov/V1/statistics/BLS_Numbers/consumerPriceIndex?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-65,public
DOL,Consumer Price Index - 12 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/consumerPriceIndex12MonthChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-76,public
DOL,Consumer Price Index - 1 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/consumerPriceIndex1MonthChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-77,public
DOL,Consumer Price Indexes - Area,http://api.dol.gov/V1/Statistics/CPI/CU_AREA?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-102,public
DOL,Consumer Price Indexes - Base,http://api.dol.gov/V1/Statistics/CPI/CU_BASE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-103,public
DOL,Consumer Price Indexes - Data Pub,http://api.dol.gov/V1/Statistics/CPI/CU_DATAPUB?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-104,public
DOL,Consumer Price Indexes - Footnote,http://api.dol.gov/V1/Statistics/CPI/CU_FOOTNOTE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-105,public
DOL,Consumer Price Indexes - Item,http://api.dol.gov/V1/Statistics/CPI/CU_ITEM?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-106,public
DOL,Consumer Price Indexes - Periodicity,http://api.dol.gov/V1/Statistics/CPI/CU_PERIODICITY?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-107,public
DOL,Consumer Price Indexes - Seasonal,http://api.dol.gov/V1/Statistics/CPI/CU_SEASONAL?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-108,public
DOL,Consumer Price Indexes - Series,http://api.dol.gov/V1/Statistics/CPI/CU_SERIES?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-109,public
DOL,Current Employment Statistics - Series,http://api.dol.gov/V1/Statistics/CES/CE_SERIES?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-100,public
DOL,Current Employment Statistics - Supersector,http://api.dol.gov/V1/Statistics/CES/CE_SUPERSECTOR?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-101,public
DOL,Current Population Survey (CPS) - Ages,http://api.dol.gov/V1/Statistics/CPS/LE_AGES?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-151,public
DOL,Current Population Survey (CPS) - Born,http://api.dol.gov/V1/Statistics/CPS/LE_BORN?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-152,public
DOL,Current Population Survey (CPS) - Class,http://api.dol.gov/V1/Statistics/CPS/LE_CLASS?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-153,public
DOL,Current Population Survey (CPS) - Data Pub,http://api.dol.gov/V1/Statistics/CPS/LE_DATA_PUB?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-154,public
DOL,Current Population Survey (CPS) - Earn,http://api.dol.gov/V1/Statistics/CPS/LE_EARN?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-155,public
DOL,Current Population Survey (CPS) - Education,http://api.dol.gov/V1/Statistics/CPS/LE_EDUCATION?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-156,public
DOL,Current Population Survey (CPS) - FIPS,http://api.dol.gov/V1/Statistics/CPS/LE_FIPS?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-157,public
DOL,Current Population Survey (CPS) - Footnote,http://api.dol.gov/V1/Statistics/CPS/LE_FOOTNOTE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-158,public
DOL,Current Population Survey (CPS) - Indy,http://api.dol.gov/V1/Statistics/CPS/LE_INDY?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-159,public
DOL,Current Population Survey (CPS) - LFST,http://api.dol.gov/V1/Statistics/CPS/LE_LFST?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-160,public
DOL,Current Population Survey (CPS) - Occupation,http://api.dol.gov/V1/Statistics/CPS/LE_OCCUPATION?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-161,public
DOL,Current Population Survey (CPS) - ORIG,http://api.dol.gov/V1/Statistics/CPS/LE_ORIG?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-162,public
DOL,Current Population Survey (CPS) - PCTS,http://api.dol.gov/V1/Statistics/CPS/LE_PCTS?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-163,public
DOL,Current Population Survey (CPS) - Race,http://api.dol.gov/V1/Statistics/CPS/LE_RACE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-164,public
DOL,Current Population Survey (CPS) - Seasonal,http://api.dol.gov/V1/Statistics/CPS/LE_SEASONAL?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-165,public
DOL,Current Population Survey (CPS) - Series,http://api.dol.gov/V1/Statistics/CPS/LE_SERIES?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-166,public
DOL,Current Population Survey (CPS) - SEXS,http://api.dol.gov/V1/Statistics/CPS/LE_SEXS?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-167,public
DOL,Current Population Survey (CPS) - TDATA,http://api.dol.gov/V1/Statistics/CPS/LE_TDATA?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-168,public
DOL,Current Population Survey (CPS) - UNIN,http://api.dol.gov/V1/Statistics/CPS/LE_UNIN?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-169,public
DOL,Employment Cost Index,http://api.dol.gov/V1/statistics/BLS_Numbers/employmentCostIndex?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-66,public
DOL,Export Price Index,http://api.dol.gov/V1/statistics/BLS_Numbers/exportPriceIndex?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-67,public
DOL,Export Price Index - 12 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/exportPriceIndex12MonthChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-78,public
DOL,Export Price Index - 1 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/exportPriceIndex1MonthChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-79,public
DOL,Fatal Occupational Injuries - Area,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_AREA?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-33,public
DOL,Fatal Occupational Injuries - Case,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_CASE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-34,public
DOL,Fatal Occupational Injuries - CATEGORY,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_CATEGORY?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-35,public
DOL,Fatal Occupational Injuries - CATEGORY2,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_CATEGORY2?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-36,public
DOL,Fatal Occupational Injuries - DATA PUB,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_DATA_PUB?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-37,public
DOL,Fatal Occupational Injuries - Data Type,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_DATA_TYPE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-38,public
DOL,Fatal Occupational Injuries - Event,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_EVENT?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-39,public
DOL,Fatal Occupational Injuries - Footnote,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_FOOTNOTE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-40,public
DOL,Fatal Occupational Injuries - GQT Case,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_GQT_CASE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-41,public
DOL,Fatal Occupational Injuries - GQT Char,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_GQT_CHAR?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-42,public
DOL,Fatal Occupational Injuries - GQT Char Ownership,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_GQT_CHAR_OWNERSHIP?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-43,public
DOL,Fatal Occupational Injuries - GQT Ownership,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_GQT_OWNERSHIP?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-44,public
DOL,Fatal Occupational Injuries - GQT State,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_GQT_STATE?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-45,public
DOL,Fatal Occupational Injuries - GQT State Ownership,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_GQT_STATE_OWNERSHIP?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-46,public
DOL,Fatal Occupational Injuries - Industry,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_INDUSTRY?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-47,public
DOL,Fatal Occupational Injuries - Series,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_SERIES?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-48,public
DOL,Fatal Occupational Injuries - Supersector,http://api.dol.gov/V1/Safety/FatalOccupationalInjuries/FI_SUPERSECTOR?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-49,public
DOL,Import Price Index,http://api.dol.gov/V1/statistics/BLS_Numbers/importPriceIndex?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-68,public
DOL,Import Price Index - 12 Month Change,http://api.dol.gov/V1/statistics/BLS_Numbers/importPriceIndex12MonthChange?KEY=352e8ef9-7b38-4428-875b-eefd39df6289,DOL-BLS-80,public
