Branch,Department,Agency,Sub-Agency/Program,Public APIs,Developer Hub,Write APIs
Executive,Defense,National Security Agency,,,,
Executive,Defense,National Reconnaissance Office,,,,
Executive,Defense,National Geospatial-Intelligence Agency,,,,
Executive,Defense,Naval Criminal Investigative Service,,,,
Executive,Defense,Pentagon Force Protection Agency,,,,
Executive,Defense,United States Pentagon Police,,,,
Executive,Defense,American Forces Information Service,,,,
Executive,Defense,Defense Prisoner of War/Missing Personnel Office,,,,
Executive,Defense,Defense Education Activity,,,,
Executive,Defense,Defense Dependents Schools,,,,
Executive,Defense,Defense Human Resources Activity,,,,
Executive,Defense,Office of Economic Adjustment,,,,
Executive,Defense,TRICARE Management Activity,,,,
Executive,Defense,Washington Headquarters Services,,,,
Executive,Defense,West Point Military Academy,,,,
Executive,Education,~~~,,x,x,
Executive,Energy,~~~,,x,x,x
Executive,Energy,,Office of Scientific and Technical Information,x,x,
Executive,Energy,Energy Information Administration,,x,x,
Executive,Energy,Federal Energy Regulatory Commission,,,,
Executive,Energy,National Laboratories and Technology Centers,,x,,x
Executive,Energy,,Argonne National Laboratory,x,,
Executive,Energy,,Brookhaven National Laboratory,x,,
Executive,Energy,,Lawrence Berkeley National Laboratory,x,,
Executive,Energy,,National Energy Research Scientific Computing Center,x,,
Executive,Energy,,National Renewable Energy Laboratory,x,x,
Executive,Energy,,Oak Ridge National Laboratory,x,x,
Executive,Energy,,Pacific Northwest National Laboratory,x,,
Executive,Energy,,Sandia National Laboratory,x,,
Executive,Energy,,FuelEconomy.gov,x,x,
Executive,Energy,National Nuclear Security Administration,,,,
Executive,Energy,Power Marketing Administrations,,,,
Executive,Health and Human Services,~~~,,x,x,x
Executive,Health and Human Services,,AIDS.gov,x,,
Executive,Health and Human Services,,Grants.gov,x,,
Executive,Health and Human Services,,Healthcare.gov,x,x,
Executive,Health and Human Services,,Healthdata.gov,x,x,
Executive,Health and Human Services,,Healthfinder.gov,x,x,
Executive,Health and Human Services,Administration on Aging,,x,,
Executive,Health and Human Services,,Eldercare.gov,x,,
Executive,Health and Human Services,Administration for Children and Families,,x,,
Executive,Health and Human Services,,GrantSolutions.gov,x,,
Executive,Health and Human Services,Agency for Healthcare Research and Quality,,x,,
Executive,Health and Human Services,Centers for Disease Control and Prevention,,x,,
Executive,Health and Human Services,,HealthIndicators.gov,x,x,
Executive,Health and Human Services,Centers for Medicare and Medicaid Services,,x,x,
Executive,Health and Human Services,,Medicare.gov,x,x,
Executive,Health and Human Services,Food and Drug Administration,,x,x,
Executive,Health and Human Services,Health Resources and Services Administration,,x,,
Executive,Health and Human Services,Patient Affordable Healthcare Act Program,,,,
Executive,Health and Human Services,Indian Health Service,,x,,
Executive,Health and Human Services,National Institutes of Health,,x,x,
Executive,Health and Human Services,,National Cancer Institute,x,,
Executive,Health and Human Services,,National Institute of Allergy and Infectious Diseases,x,,
Executive,Health and Human Services,,National Institute on Drug Abuse,x,x,
Executive,Health and Human Services,,National Institute of Neurological Disorders and Stroke,x,,
Executive,Health and Human Services,,National Library of Medicine,x,x,
Executive,Health and Human Services,,Pillbox Program,x,x,
Executive,Health and Human Services,National Health Intelligence Service,,,,
Executive,Health and Human Services,Public Health Service,,,,
Executive,Health and Human Services,Substance Abuse and Mental Health Services Admin.,,x,x,
Executive,Health and Human Services,,RecoveryMonth.gov,x,,
Executive,Homeland Security,~~~,,x,x,x
Executive,Homeland Security,Federal Emergency Management Agency,,x,x,
Executive,Homeland Security,Federal Law Enforcement Training Center,,,,
Executive,Homeland Security,Transportation Security Administration,,x,,
Executive,Homeland Security,United States Citizenship and Immigration Services,,x,,x
Executive,Homeland Security,United States Coast Guard,,x,,
Executive,Homeland Security,United States Customs and Border Protection,,,,
Executive,Homeland Security,United States Immigration and Customs Enforcement,,x,,x
Executive,Homeland Security,United States Secret Service,,,,
Executive,Housing and Urban Development,~~~,,x,x,
Executive,Housing and Urban Development,Federal Housing Administration,,,,
Executive,Housing and Urban Development,Federal Housing Finance Agency,,,,
Executive,Interior,~~~,,x,x,
Executive,Interior,Bureau of Indian Affairs,,,,
Executive,Interior,Bureau of Land Management,,x,,
Executive,Interior,Bureau of Ocean Energy Management,,x,,
Executive,Interior,Bureau of Reclamation,,,,
Executive,Interior,Bureau of Safety and Environmental Enforcement,,,,
Executive,Interior,Fish and Wildlife Service,,x,,
Executive,Interior,National Park Service,,x,,
Executive,Interior,Office of Insular Affairs,,,,
Executive,Interior,Office of Surface Mining,,x,,
Executive,Interior,United States Geological Survey,,x,x,
Executive,Interior,,MapAPlanet.gov,x,,
Executive,Interior,,NationalAtlas.gov,x,,
Executive,Interior,,NationalMap.gov,x,x,
Executive,Interior,,ScienceBase.gov,x,,
Executive,Interior,,WaterQualityData.us,x,,
Executive,Justice,~~~,,x,x,
Executive,Justice,,Bureau of Justice Statistics,x,x,
Executive,Justice,,Office of Justice Programs,x,x,
Executive,Justice,,FOIA.gov,,x,
Executive,Justice,Antitrust Division,,,,
Executive,Justice,Asset Forfeiture Program,,,,
Executive,Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,x,x,
Executive,Justice,Civil Division,,,,
Executive,Justice,Civil Rights Division,,,,
Executive,Justice,Community Oriented Policing Services,,,,
Executive,Justice,Community Relations Service,,,,
Executive,Justice,Criminal Division,,,,
Executive,Justice,Diversion Control Program,,,,
Executive,Justice,Drug Enforcement Administration,,x,,
Executive,Justice,,E-Commerce Program,x,x,
Executive,Justice,Environment and Natural Resources Division,,,,
Executive,Justice,Federal Bureau of Investigation,,,,
Executive,Justice,Federal Bureau of Prisons,,,,
Executive,Justice,Foreign Claims Settlement Commission,,,,
Executive,Justice,INTERPOL - United States National Central Bureau,,,,
Executive,Justice,Justice Management Division,,,,
Executive,Justice,National Crime Information Center,,,,
Executive,Justice,National Drug Intelligence Center,,,,
Executive,Justice,National Institute of Corrections,,,,
Executive,Justice,National Security Division,,,,
Executive,Justice,Tax Division,,,,
Executive,Justice,United States Attorneys,,,,
Executive,Justice,United States Marshals,,,,
Executive,Justice,United States Parole Commission,,,,
Executive,Justice,United States Trustee Program,,,,
Executive,Labor,~~~,,x,x,
Executive,Labor,Bureau of International Labor Affairs,,,,
Executive,Labor,Bureau of Labor Statistics,,x,x,
Executive,Labor,Center for Faith-Based and Neighborhood Partnerships,,,,
Executive,Labor,Employee Benefits Security Administration,,,,
Executive,Labor,Employment and Training Administration,,x,,
Executive,Labor,Job Corps,,,,
Executive,Labor,Mine Safety and Health Administration,,x,x,
Executive,Labor,Occupational Safety and Health Administration,,x,x,
Executive,Labor,Veterans' Employment and Training Service,,,,
Executive,Labor,Wage and Hour Division,,x,x,
Executive,Labor,Women's Bureau,,,,
Executive,State,~~~,,x,x,
Executive,State,,Office of the Historian,x,x,
Executive,Transportation,~~~,,x,x,
Executive,Transportation,Bureau of Transportation Statistics,,,,
Executive,Transportation,Federal Aviation Administration,,x,x,
Executive,Transportation,Federal Highway Administration,,,,
Executive,Transportation,Federal Motor Carrier Safety Administration,,x,x,
Executive,Transportation,Federal Railroad Administration,,x,,
Executive,Transportation,Federal Transit Administration,,,,
Executive,Transportation,Maritime Administration,,,,
Executive,Transportation,National Highway Traffic Safety Administration,,x,x,
Executive,Transportation,"Office of Intelligence, Security and Emergency Response",,,,
Executive,Transportation,Pipeline and Hazardous Materials Safety Administration,,,,
Executive,Transportation,Research and Innovative Technology Administration,,,,
Executive,Transportation,St. Lawrence Seaway System,,,,
Executive,Transportation,Surface Transportation Board,,,,
Executive,Treasury,~~~,,x,x,x
Executive,Treasury,Alcohol and Tobacco Tax and Trade Bureau,,,,
Executive,Treasury,Bureau of Engraving and Printing,,x,,
Executive,Treasury,Bureau of the Fiscal Service,,x,,
Executive,Treasury,,TreasuryDirect.gov,x,x,
Executive,Treasury,Community Development Financial Institutions Fund,,,,
Executive,Treasury,Federal Consulting Group,,,,
Executive,Treasury,Financial Crimes Enforcement Network,,,,
Executive,Treasury,Internal Revenue Service,,x,,x
Executive,Treasury,Office of the Comptroller of the Currency,,,,
Executive,Treasury,Office of Financial Stability,,,,
Executive,Treasury,United States Mint,,,,
Executive,Veterans Affairs,~~~,,x,x,
Executive,Veterans Affairs,National Cemetery Administration,,x,,
Executive,Veterans Affairs,Veterans Benefits Administration,,x,,
Executive,Veterans Affairs,,National Resource Directory,x,x,
Executive,Veterans Affairs,Veterans Health Administration,,,,
Independent,~~~,Administrative Conference of the United States,,,,
Independent,~~~,Advisory Council on Historic Preservation,,,,
Independent,~~~,African Development Foundation,,,,
Independent,~~~,Amtrak (National Railroad Passenger Corporation),,,,
Independent,~~~,Armed Forces Retirement Home,,,,
Independent,~~~,Central Intelligence Agency,,,,
Independent,~~~,Commission on Civil Rights,,,,
Independent,~~~,Commodity Futures Trading Commission,,,,
Independent,~~~,Consumer Financial Protection Bureau,,x,x,
Independent,~~~,Consumer Product Safety Commission,,x,,
Independent,~~~,,SaferProducts.gov,x,,
Independent,~~~,Corporation for National and Community Service,,,,
Independent,~~~,Court Services and Offender Supervision Agency,,,,
Independent,~~~,Corporation for Public Broadcasting,,,,
Independent,~~~,Defense Nuclear Facilities Safety Board,,,,
Independent,~~~,Election Assistance Commission,,,,
Independent,~~~,Environmental Protection Agency,,x,x,x
Independent,~~~,,EnergyStar.gov,x,x,
Independent,~~~,,Regulations.gov,x,x,
Independent,~~~,Equal Employment Opportunity Commission,,,,
Independent,~~~,Export-Import Bank of the United States,,,,
Independent,~~~,Farm Credit Administration,,,,
Independent,~~~,Federal Communications Commission,,x,x,
Independent,~~~,,BroadbandMap.gov,x,x,
Independent,~~~,Federal Deposit Insurance Corporation,,,,
Independent,~~~,Federal Election Commission,,,,
Independent,~~~,Federal Financial Institutions Examination Council,,x,,
Independent,~~~,Federal Housing Finance Board,,,,
Independent,~~~,Federal Labor Relations Authority,,,,
Independent,~~~,Federal Maritime Commission,,,,
Independent,~~~,Federal Mediation and Conciliation Service,,,,
Independent,~~~,Federal Mine Safety and Health Review Commission,,,,
Independent,~~~,Federal Reserve System,,x,,
Independent,~~~,Federal Retirement Thrift Investment Board,,,,
Independent,~~~,Federal Trade Commission,,,,
Independent,~~~,General Services Administration,,x,x,x
Independent,~~~,,18F,x,,
Independent,~~~,,BusinessUSA.gov,x,x,
Independent,~~~,,Data.gov,x,x,
Independent,~~~,,FedBizOps,x,,
Independent,~~~,,JobCenter.USA.gov,x,x,
Independent,~~~,,My.USA.gov,x,,
Independent,~~~,,Search.Digitalgov.gov,x,x,
Independent,~~~,,SFTool.gov,x,x,
Independent,~~~,,USA.gov,x,x,
Independent,~~~,Helen Keller National Center,,,,
Independent,~~~,Institute of Museum and Library Services,,,,
Independent,~~~,Inter-American Foundation,,,,
Independent,~~~,International Broadcasting Bureau,,,,
Independent,~~~,International Trade Commission,,x,,
Independent,~~~,Merit Systems Protection Board,,,,
Independent,~~~,Millenium Challenge Corporation,,x,x,
Independent,~~~,Military Postal Service Agency,,,,
Independent,~~~,National Aeronautics and Space Administration,,x,x,
Independent,~~~,National Archives and Records Administration,,x,x,
Independent,~~~,,Office of the Federal Register,x,x,
Independent,~~~,National Capital Planning Commission,,,,
Independent,~~~,National Constitution Center,,,,
Independent,~~~,National Council on Disability,,,,
Independent,~~~,National Credit Union Administration,,,,
Independent,~~~,National Endowment for the Arts,,,,
Independent,~~~,National Endowment for the Humanities,,,,
Independent,~~~,National Labor Relations Board,,,,
Independent,~~~,National Mediation Board,,,,
Independent,~~~,National Science Foundation,,x,x,
Independent,~~~,,Research.gov,x,,
Independent,~~~,United States Antarctic Program,,,,
Independent,~~~,United States Arctic Program,,,,
Independent,~~~,National Transportation Safety Board,,,,
Independent,~~~,Nuclear Regulatory Commission,,x,x,
Independent,~~~,"Office of the Federal Coordinator, Alaska Natural Gas T.P.",,,,
Independent,~~~,Occupational Safety and Health Review Commission,,,,
Independent,~~~,Office of Compliance,,,,
Independent,~~~,Office of Government Ethics,,,,
Independent,~~~,Office of Personnel Management,,x,x,
Independent,~~~,,USAJOBS.gov,x,x,
Independent,~~~,Office of Special Counsel,,,,
Independent,~~~,Office of the National Counterintelligence Executive,,,,
Independent,~~~,Office of the Director of National Intelligence,,x,,
Independent,~~~,,ISE.gov,x,x,
Independent,~~~,Overseas Private Investment Corporation,,,,
Independent,~~~,Panama Canal Commission,,,,
Independent,~~~,Peace Corps,,,,
Independent,~~~,Pension Benefit Guaranty Corporation,,,,
Independent,~~~,Postal Regulatory Commission,,,,
Independent,~~~,Railroad Retirement Board,,,,
Independent,~~~,Recovery Accountability and Transparency Board,,x,x,
Independent,~~~,Securities and Exchange Commission,,,,
Independent,~~~,Securities Investor Protection Corporation,,,,
Independent,~~~,Selective Service System,,,,
Independent,~~~,Small Business Administration,,x,x,
Independent,~~~,,Small Business Innovation Research,x,x,
Independent,~~~,Social Security Administration,,x,x,
Independent,~~~,Tennessee Valley Authority,,,,
Independent,~~~,U.S. Trade and Development Agency,,,,
Independent,~~~,United States Agency for International Development,,x,x,
Independent,~~~,,ForeignAssistance.gov,x,x,
Independent,~~~,United States Postal Service,,x,,x
Other,~~~,~~~,Federal Geographic Data Committee,x,x,
Other,~~~,~~~,Global Change Research Program,x,x,
Other,~~~,~~~,Integrated Taxonomic Information System,x,x,
Other,~~~,~~~,National Information Exchange Model,x,,
