Branch,Department,Agency,Public APIs,Developer Hub,Write APIs
Executive,Department of Defense,Army Corps of Engineers,x,,
Executive,Department of Education,~~~,x,x,
Executive,Department of Energy,~~~,x,x,x
Executive,Department of Energy,Energy Information Administration,x,x,
Executive,Department of Energy,Federal Energy Regulatory Commission,,,
Executive,Department of Energy,National Laboratories and Technology Centers,x,,x
Executive,Department of Energy,National Nuclear Security Administration,,,
Executive,Department of Energy,Power Marketing Administrations,,,
Executive,Department of Health and Human Services,~~~,x,x,x
Executive,Department of Health and Human Services,Administration on Aging,x,,
Executive,Department of Health and Human Services,Administration for Children and Families,x,,
Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,x,,
Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,x,,
Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,x,x,
Executive,Department of Health and Human Services,Food and Drug Administration,x,,
Executive,Department of Health and Human Services,Health Resources and Services Administration,x,,
Executive,Department of Health and Human Services,Patient Affordable Healthcare Act Program,,,
Executive,Department of Health and Human Services,Indian Health Service,x,,
Executive,Department of Health and Human Services,National Institutes of Health,x,,
Executive,Department of Health and Human Services,National Health Intelligence Service,,,
Executive,Department of Health and Human Services,Public Health Service,,,
Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,x,x,
Executive,Department of Homeland Security,~~~,x,x,x
Executive,Department of Homeland Security,Federal Emergency Management Agency,x,x,
Executive,Department of Homeland Security,Federal Law Enforcement Training Center,,,
Executive,Department of Homeland Security,Transportation Security Administration,x,,
Executive,Department of Homeland Security,United States Citizenship and Immigration Services,x,,x
Executive,Department of Homeland Security,United States Coast Guard,,,
Executive,Department of Homeland Security,United States Customs and Border Protection,,,
Executive,Department of Homeland Security,United States Immigration and Customs Enforcement,x,,x
Executive,Department of Homeland Security,United States Secret Service,,,
Executive,Department of Housing and Urban Development,~~~,x,x,
Executive,Department of Housing and Urban Development,Federal Housing Administration,,,
Executive,Department of Housing and Urban Development,Federal Housing Finance Agency,,,
Executive,Department of the Interior,~~~,x,x,
Executive,Department of the Interior,Bureau of Indian Affairs,,,
Executive,Department of the Interior,Bureau of Land Management,x,,
Executive,Department of the Interior,Bureau of Ocean Energy Management,x,,
Executive,Department of the Interior,Bureau of Reclamation,,,
Executive,Department of the Interior,Bureau of Safety and Environmental Enforcement,,,
Executive,Department of the Interior,Fish and Wildlife Service,x,,
Executive,Department of the Interior,National Park Service,x,,
Executive,Department of the Interior,Office of Insular Affairs,,,
Executive,Department of the Interior,Office of Surface Mining,x,,
Executive,Department of the Interior,United States Geological Survey,x,x,
Executive,Department of Justice,~~~,x,x,
Executive,Department of Justice,Antitrust Division,,,
Executive,Department of Justice,Asset Forfeiture Program,,,
Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",x,x,
Executive,Department of Justice,Civil Division,,,
Executive,Department of Justice,Civil Rights Division,,,
Executive,Department of Justice,Community Oriented Policing Services,,,
Executive,Department of Justice,Community Relations Service,,,
Executive,Department of Justice,Criminal Division,,,
Executive,Department of Justice,Diversion Control Program,,,
Executive,Department of Justice,Drug Enforcement Administration,x,,
Executive,Department of Justice,Environment and Natural Resources Division,,,
Executive,Department of Justice,Federal Bureau of Investigation,,,
Executive,Department of Justice,Federal Bureau of Prisons,,,
Executive,Department of Justice,Foreign Claims Settlement Commission,,,
Executive,Department of Justice,INTERPOL - United States National Central Bureau,,,
Executive,Department of Justice,Justice Management Division,,,
Executive,Department of Justice,National Crime Information Center,,,
Executive,Department of Justice,National Drug Intelligence Center,,,
Executive,Department of Justice,National Institute of Corrections,,,
Executive,Department of Justice,National Security Division,,,
Executive,Department of Justice,Tax Division,,,
Executive,Department of Justice,United States Attorneys,,,
Executive,Department of Justice,United States Marshals,,,
Executive,Department of Justice,United States Parole Commission,,,
Executive,Department of Justice,United States Trustee Program,,,
Executive,Department of Labor,~~~,x,x,
Executive,Department of Labor,Bureau of International Labor Affairs,,,
Executive,Department of Labor,Bureau of Labor Statistics,x,x,
Executive,Department of Labor,Center for Faith-Based and Neighborhood Partnerships (DOL),,,
Executive,Department of Labor,Employee Benefits Security Administration,,,
Executive,Department of Labor,Employment and Training Administration,x,,
Executive,Department of Labor,Job Corps,,,
Executive,Department of Labor,Mine Safety and Health Administration,x,,
Executive,Department of Labor,Occupational Safety and Health Administration,x,,
Executive,Department of Labor,Veterans' Employment and Training Service,,,
Executive,Department of Labor,Wage and Hour Division,x,,
Executive,Department of Labor,Women's Bureau,,,
Executive,Department of State,~~~,x,x,
Executive,Department of Transportation,~~~,x,x,
Executive,Department of Transportation,Bureau of Transportation Statistics,,,
Executive,Department of Transportation,Federal Aviation Administration,x,x,
Executive,Department of Transportation,Federal Highway Administration,,,
Executive,Department of Transportation,Federal Motor Carrier Safety Administration,x,x,
Executive,Department of Transportation,Federal Railroad Administration,x,,
Executive,Department of Transportation,Federal Transit Administration,,,
Executive,Department of Transportation,Maritime Administration,,,
Executive,Department of Transportation,National Highway Traffic Safety Administration,x,x,
Executive,Department of Transportation,"Office of Intelligence, Security and Emergency Response",,,
Executive,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,,
Executive,Department of Transportation,Research and Innovative Technology Administration,,,
Executive,Department of Transportation,St. Lawrence Seaway System,,,
Executive,Department of Transportation,Surface Transportation Board,,,
Executive,Department of the Treasury,~~~,x,x,x
Executive,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,,
Executive,Department of the Treasury,Bureau of Engraving and Printing,x,,
Executive,Department of the Treasury,Bureau of the Fiscal Service,,,
Executive,Department of the Treasury,Community Development Financial Institutions Fund,,,
Executive,Department of the Treasury,Federal Consulting Group,,,
Executive,Department of the Treasury,Financial Crimes Enforcement Network,,,
Executive,Department of the Treasury,Internal Revenue Service,x,,x
Executive,Department of the Treasury,Office of the Comptroller of the Currency,,,
Executive,Department of the Treasury,Office of Financial Stability,,,
Executive,Department of the Treasury,United States Mint,,,
Executive,Department of Veterans Affairs,~~~,x,x,
Executive,Department of Veterans Affairs,National Cemetery Administration,x,,
Executive,Department of Veterans Affairs,Veterans Benefits Administration,x,,
Executive,Department of Veterans Affairs,Veterans Health Administration,,,
Independent Agencies and Government-Owned Corporations,~~~,Administrative Conference of the United States,,,
Independent Agencies and Government-Owned Corporations,~~~,Advisory Council on Historic Preservation,,,
Independent Agencies and Government-Owned Corporations,~~~,African Development Foundation,,,
Independent Agencies and Government-Owned Corporations,~~~,Amtrak (National Railroad Passenger Corporation),,,
Independent Agencies and Government-Owned Corporations,~~~,Armed Forces Retirement Home,,,
Independent Agencies and Government-Owned Corporations,~~~,Central Intelligence Agency,,,
Independent Agencies and Government-Owned Corporations,~~~,Commission on Civil Rights,,,
Independent Agencies and Government-Owned Corporations,~~~,Commodity Futures Trading Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Consumer Financial Protection Bureau,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Consumer Product Safety Commission,x,,
Independent Agencies and Government-Owned Corporations,~~~,Corporation for National and Community Service,,,
Independent Agencies and Government-Owned Corporations,~~~,Court Services and Offender Supervision Agency,,,
Independent Agencies and Government-Owned Corporations,~~~,Corporation for Public Broadcasting,,,
Independent Agencies and Government-Owned Corporations,~~~,Defense Nuclear Facilities Safety Board,,,
Independent Agencies and Government-Owned Corporations,~~~,Election Assistance Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Environmental Protection Agency,x,x,x
Independent Agencies and Government-Owned Corporations,~~~,Equal Employment Opportunity Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Export-Import Bank of the United States,,,
Independent Agencies and Government-Owned Corporations,~~~,Farm Credit Administration,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Communications Commission,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Federal Deposit Insurance Corporation,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Election Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Financial Institutions Examination Council,x,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Housing Finance Board,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Labor Relations Authority,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Maritime Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Mediation and Conciliation Service,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Mine Safety and Health Review Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Reserve System,x,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Retirement Thrift Investment Board,,,
Independent Agencies and Government-Owned Corporations,~~~,Federal Trade Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,General Services Administration,x,x,x
Independent Agencies and Government-Owned Corporations,~~~,Helen Keller National Center,,,
Independent Agencies and Government-Owned Corporations,~~~,Institute of Museum and Library Services,,,
Independent Agencies and Government-Owned Corporations,~~~,Inter-American Foundation,,,
Independent Agencies and Government-Owned Corporations,~~~,International Broadcasting Bureau,,,
Independent Agencies and Government-Owned Corporations,~~~,International Trade Commission,x,,
Independent Agencies and Government-Owned Corporations,~~~,Merit Systems Protection Board,,,
Independent Agencies and Government-Owned Corporations,~~~,Millenium Challenge Corporation,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Military Postal Service Agency,,,
Independent Agencies and Government-Owned Corporations,~~~,National Aeronautics and Space Administration,x,x,
Independent Agencies and Government-Owned Corporations,~~~,National Archives and Records Administration,x,x,
Independent Agencies and Government-Owned Corporations,~~~,National Capital Planning Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,National Constitution Center,,,
Independent Agencies and Government-Owned Corporations,~~~,National Council on Disability,,,
Independent Agencies and Government-Owned Corporations,~~~,National Credit Union Administration,,,
Independent Agencies and Government-Owned Corporations,~~~,National Endowment for the Arts,,,
Independent Agencies and Government-Owned Corporations,~~~,National Endowment for the Humanities,,,
Independent Agencies and Government-Owned Corporations,~~~,National Labor Relations Board,,,
Independent Agencies and Government-Owned Corporations,~~~,National Mediation Board,,,
Independent Agencies and Government-Owned Corporations,~~~,National Science Foundation,x,x,
Independent Agencies and Government-Owned Corporations,~~~,United States Antarctic Program,,,
Independent Agencies and Government-Owned Corporations,~~~,United States Arctic Program,,,
Independent Agencies and Government-Owned Corporations,~~~,National Transportation Safety Board,,,
Independent Agencies and Government-Owned Corporations,~~~,Nuclear Regulatory Commission,x,x,
Independent Agencies and Government-Owned Corporations,~~~,"Office of the Federal Coordinator, Alaska Natural Gas Transportation Projects",,,
Independent Agencies and Government-Owned Corporations,~~~,Occupational Safety and Health Review Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Office of Compliance,,,
Independent Agencies and Government-Owned Corporations,~~~,Office of Government Ethics,,,
Independent Agencies and Government-Owned Corporations,~~~,Office of Personnel Management,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Office of Special Counsel,,,
Independent Agencies and Government-Owned Corporations,~~~,Office of the National Counterintelligence Executive,,,
Independent Agencies and Government-Owned Corporations,~~~,Office of the Director of National Intelligence,x,,
Independent Agencies and Government-Owned Corporations,~~~,Overseas Private Investment Corporation,,,
Independent Agencies and Government-Owned Corporations,~~~,Panama Canal Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Peace Corps,,,
Independent Agencies and Government-Owned Corporations,~~~,Pension Benefit Guaranty Corporation,,,
Independent Agencies and Government-Owned Corporations,~~~,Postal Regulatory Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Railroad Retirement Board,,,
,,Recovery Accountability and Transparency Board,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Securities and Exchange Commission,,,
Independent Agencies and Government-Owned Corporations,~~~,Securities Investor Protection Corporation,,,
Independent Agencies and Government-Owned Corporations,~~~,Selective Service System,,,
Independent Agencies and Government-Owned Corporations,~~~,Small Business Administration,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Social Security Administration,x,x,
Independent Agencies and Government-Owned Corporations,~~~,Tennessee Valley Authority,,,
Independent Agencies and Government-Owned Corporations,~~~,U.S. Trade and Development Agency,,,
Independent Agencies and Government-Owned Corporations,~~~,United States Agency for International Development,x,x,
Independent Agencies and Government-Owned Corporations,~~~,United States Postal Service,x,,x
